Symbol	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
GPLD1	specific	307792	514	541	8.64E-05	40.2107	pfam01839	FG-GAP	C	cl21621
GPR35	specific	320292	74	318	5.56E-136	387.002	cd15164	7tmA_GPR35-like	 - 	cl28897
HEATR6	specific	315833	418	599	1.24E-78	255.687	pfam13251	DUF4042	 - 	cl16184
HEATR6	specific	316071	830	883	0.00689774	35.7596	pfam13513	HEAT_EZ	 - 	cl22454
HEPH	specific	259886	431	626	1.55E-128	391.451	cd04224	CuRO_3_ceruloplasmin	 - 	cl19115
HEPH	specific	259884	80	262	2.52E-123	377.145	cd04222	CuRO_1_ceruloplasmin	 - 	cl19115
HEPH	specific	259887	787	959	1.51E-108	337.132	cd04225	CuRO_5_ceruloplasmin	 - 	cl19115
HEPH	specific	259907	277	417	1.57E-93	295.534	cd11021	CuRO_2_ceruloplasmin	 - 	cl19115
HEPH	specific	259908	629	772	5.89E-87	277.441	cd11022	CuRO_4_ceruloplasmin	 - 	cl19115
HEPH	superfamily	327505	974	1117	5.50E-69	227.444	cl19115	Cupredoxin superfamily	 - 	 - 
ABCG2	superfamily	333000	55	649	5.49E-146	437.171	cl28180	PRK10535 superfamily	 - 	 - 
HMGXB3	specific	197700	41	100	2.15E-10	57.7107	smart00398	HMG	 - 	cl00082
HMGXB3	superfamily	331285	442	590	0.00262861	42.2329	cl26464	Atrophin-1 superfamily	N	 - 
IBA57	specific	223431	41	353	1.96E-41	146.739	COG0354	YgfZ	 - 	cl27494
IBSP	specific	310200	17	314	2.95E-120	347.258	pfam05432	BSP_II	 - 	cl27034
AKAP1	specific	306940	704	826	9.64E-25	99.755	pfam00567	TUDOR	 - 	cl26991
AKAP1	specific	238053	611	671	1.29E-12	63.3479	cd00105	KH-I	 - 	cl00098
AKAP1	superfamily	330423	181	380	0.00223589	41.3923	cl25602	DUF3552 superfamily	C	 - 
INPP5E	specific	197329	295	593	0	610.194	cd09095	INPP5c_INPP5E-like	 - 	cl00490
INPP5E	superfamily	331285	2	179	0.00300711	40.6921	cl26464	Atrophin-1 superfamily	N	 - 
KCNS3	specific	306908	184	417	3.20E-47	163.207	pfam00520	Ion_trans	 - 	cl26838
KCNS3	specific	308049	17	116	2.54E-39	137.334	pfam02214	BTB_2	 - 	cl02518
KIAA1551	specific	317761	669	1737	0	1513.87	pfam15395	DUF4617	 - 	cl25854
KIAA1841	specific	314655	147	248	1.76E-45	156.855	pfam11822	DUF3342	 - 	cl28778
KIF27	specific	276823	4	342	0	601.243	cd01372	KISc_KIF4	 - 	cl22853
KIF27	superfamily	330553	721	1083	2.19E-15	81.6843	cl25732	SMC_N superfamily	C	 - 
KIF27	superfamily	330553	936	1244	1.42E-07	56.2295	cl25732	SMC_N superfamily	N	 - 
KMT5B	specific	214614	203	314	5.36E-19	83.5379	smart00317	SET	 - 	cl02566
LARP1B	specific	153407	216	288	7.34E-43	149.717	cd08038	LARP_2	 - 	cl02755
LARP1B	specific	128927	748	786	1.70E-15	70.4779	smart00684	DM15	 - 	cl02733
LARP1B	specific	128927	707	747	2.02E-11	58.9219	smart00684	DM15	 - 	cl02733
LRRN4	specific	238020	580	676	2.81E-13	65.9807	cd00063	FN3	 - 	cl21522
LRRN4	specific	227223	65	255	1.00E-08	57.6706	COG4886	LRR	N	cl25992
LRRN4	specific	227223	224	311	0.00634673	39.5662	COG4886	LRR	NC	cl25992
LYVE1	specific	239593	34	174	6.21E-81	241.98	cd03516	Link_domain_CD44_like	 - 	cl02612
LZTFL1	specific	317667	20	294	2.53E-154	432.201	pfam15294	Leu_zip	 - 	cl25516
